run_id,label,kind,students,context_tokens,activity,shared_fraction,grade,grade_brief,ttft_p50_s,ttft_p90_s,ttft_p99_s,burst_p50_s,burst_p90_s,decode_tps_p50,requests,requests_failed,error_rate,bursts,prefix_cache_hit_rate,preemptions,kv_cache_usage_avg,kv_cache_usage_peak,queue_depth_avg,queue_depth_peak,server_prefill_tps,server_decode_tps,client_output_tps,compactions,compactions_per_100_steps,context_tokens_peak,max_students_ok,reasons,warnings,duration_s
act_intensief_s10,"10 studenten, activiteit intensief",activity,10,32000,intensief,0.5,groen,groen,0.2016,0.3917,1.9201,27.4061,59.2424,88.9938,227,0,0.0,28,0.9588,0.0,0.1202,0.2088,0.0067,1.0,19834.9567,232.5733,226.7833,11,4.7619,57892,,,wachtrij piekte op 1 verzoeken,408.0
act_intensief_s20,"20 studenten, activiteit intensief",activity,20,32000,intensief,0.5,oranje,groen,0.227,0.846,2.5178,38.0387,101.6336,60.5211,329,0,0.0,48,0.9399,0.0,0.2625,0.4301,0.0134,1.0,28309.7733,404.2867,387.6567,21,6.5015,61015,,p90 doorlooptijd instructie 102s,wachtrij piekte op 1 verzoeken,415.0
act_rustig_s10,"10 studenten, activiteit rustig",activity,10,32000,rustig,0.5,groen,groen,0.177,0.3719,1.4061,15.9288,48.8097,113.6395,95,0,0.0,13,0.9585,0.0,0.0388,0.1092,0.0,0.0,7539.5367,116.5833,105.6333,3,3.1579,37360,,,,395.0
act_rustig_s20,"20 studenten, activiteit rustig",activity,20,32000,rustig,0.5,groen,groen,0.1966,0.5767,2.3541,18.4607,51.4417,99.2061,124,0,0.0,24,0.9368,0.0,0.07,0.1936,0.0067,1.0,9387.7733,178.42,164.2567,10,7.9365,44606,,,wachtrij piekte op 1 verzoeken,411.0
engine_kv_auto,vLLM-variant kv_auto,engine,20,64000,normaal,0.5,oranje,groen,0.3253,2.7194,6.6045,50.0468,109.4142,41.8444,157,0,0.0,29,0.917,0.0,0.56,0.9948,0.0671,1.0,20778.65,208.9633,189.97,5,3.3784,58301,,p90 doorlooptijd instructie 109s,KV-cache piekte op 99% -- weinig marge; wachtrij piekte op 1 verzoeken,409.0
engine_kv_fp8,vLLM-variant kv_fp8,engine,20,64000,normaal,0.5,groen,groen,0.2924,0.6578,2.8473,28.6873,69.6747,68.324,205,0,0.0,34,0.9681,0.0,0.2226,0.3825,0.0,0.0,28467.62,259.5433,247.77,5,2.4876,61730,,,,400.0
engine_len_65k,vLLM-variant len_65k,engine,20,64000,normaal,0.5,groen,groen,0.2972,0.5744,2.832,28.7837,69.8991,70.3516,205,0,0.0,34,0.9678,0.0,0.2235,0.3809,0.0,0.0,28308.0967,259.6167,251.46,5,2.4876,61911,,,,400.0
engine_seqs_16,vLLM-variant seqs_16,engine,20,64000,normaal,0.5,groen,groen,0.297,0.5724,2.8069,28.7269,69.7349,68.4666,205,0,0.0,34,0.9696,0.0,0.2206,0.3776,0.0,0.0,28745.49,259.8967,242.1233,5,2.4876,61853,,,,399.0
engine_seqs_64,vLLM-variant seqs_64,engine,20,64000,normaal,0.5,groen,groen,0.3002,0.6488,2.8111,28.7184,70.4583,67.303,204,0,0.0,34,0.966,0.0,0.2253,0.3864,0.0,0.0,27692.9833,258.4667,239.6833,5,2.5,61221,,,,402.0
rampup,"Klifzoeker: 5 studenten, +2 per 120s tot het breekt",rampup,40,32000,normaal,0.5,groen,groen,0.2275,0.8145,3.595,25.1464,79.2338,57.2123,1890,0,0.0,302,0.9374,0.0,0.2017,0.6092,0.0352,4.0,18187.3167,262.7763,234.2504,101,5.3439,100358,40,,wachtrij piekte op 4 verzoeken,2289.0
scen_deadline,"Deadline, 20 studenten in burst",scenario,20,32000,intensief,0.5,rood,groen,0.2546,0.8862,4.9887,73.2276,189.2416,41.7181,456,0,0.0,45,0.9495,0.0,0.4704,0.6318,0.1074,4.0,38192.3167,516.31,474.38,23,4.8729,78865,,p90 doorlooptijd instructie 189s,wachtrij piekte op 4 verzoeken,408.0
scen_koudestart_s20,"Koude start, 20 studenten",scenario,20,12000,normaal,0.0,groen,groen,0.1397,0.3297,0.8817,24.8751,60.7751,86.1854,282,0,0.0,39,0.8714,0.0,0.095,0.2149,0.0,0.0,12234.325,452.5458,411.8917,14,4.9645,30074,,,,250.0
scen_koudestart_s30,"Koude start, 30 studenten",scenario,30,12000,normaal,0.0,groen,groen,0.1446,0.3767,1.1522,27.4673,86.2191,63.8619,387,0,0.0,55,0.8737,0.0,0.17,0.3189,0.0083,1.0,16464.8917,627.9708,560.5292,22,5.6848,45893,,,wachtrij piekte op 1 verzoeken,257.0
scen_lange_sessies,"Lange sessies, weinig studenten, zeer grote context",scenario,6,110000,intensief,0.3,groen,groen,0.4457,1.3217,5.4429,38.4239,69.3972,63.973,77,0,0.0,10,0.9804,0.0,0.2274,0.4784,0.0067,1.0,19441.1533,100.3,86.62,1,1.4493,114485,,,wachtrij piekte op 1 verzoeken,400.0
scen_na_de_stilte,"Na de stilte: tien minuten niets, dan hervat iedereen tegelijk",scenario,20,32000,normaal,0.5,oranje,groen,0.2146,0.6812,5.506,46.8736,102.4121,59.8722,322,0,0.0,40,0.9427,0.0,0.2761,0.3681,0.1681,10.0,30214.3583,503.2917,479.1667,23,7.1429,54221,,p90 doorlooptijd instructie 102s,wachtrij piekte op 10 verzoeken,1094.0
scen_worst_case,"Worst case: 20 studenten, maximale context, geen gedeelde prefix",scenario,20,100000,intensief,0.0,rood,rood,69.3313,75.0807,78.3404,424.005,438.0117,5.7072,33,0,0.0,6,0.023,1.0,0.8617,0.9978,9.0537,12.0,7594.8667,57.3867,26.4267,0,0.0,69649,,p90 TTFT 75.1s; p90 doorlooptijd instructie 438s; decodesnelheid 5.7 tok/s per stream; 1 preempties,KV-cache piekte op 100% -- weinig marge; wachtrij piekte op 12 verzoeken,455.0
shared_00_c32k,"20 studenten, 32k, 0% gedeelde projectbasis",shared,20,32000,normaal,0.0,groen,groen,0.1775,0.5066,2.1274,20.099,56.1429,90.7596,220,0,0.0,38,0.9248,0.0,0.1195,0.254,0.0134,1.0,16086.4133,270.0833,253.5633,15,6.7568,42447,,,wachtrij piekte op 1 verzoeken,408.0
shared_00_c64k,"20 studenten, 64k, 0% gedeelde projectbasis",shared,20,64000,normaal,0.0,groen,groen,0.2967,0.6683,3.7749,34.379,75.8938,70.8597,197,0,0.0,31,0.9476,0.0,0.2612,0.4988,0.0268,2.0,26518.1667,260.61,244.8067,5,2.6738,60856,,,wachtrij piekte op 2 verzoeken,399.0
shared_50_c32k,"20 studenten, 32k, 50% gedeelde projectbasis",shared,20,32000,normaal,0.5,groen,groen,0.1946,0.5378,2.0123,20.9578,57.1064,88.358,219,0,0.0,37,0.9444,0.0,0.1147,0.2464,0.0134,1.0,17737.9233,269.1167,250.2733,16,7.2398,44894,,,wachtrij piekte op 1 verzoeken,408.0
shared_50_c64k,"20 studenten, 64k, 50% gedeelde projectbasis",shared,20,64000,normaal,0.5,groen,groen,0.3075,0.6773,2.8563,28.8077,70.7447,67.3402,204,0,0.0,34,0.9672,0.0,0.2219,0.3853,0.0067,1.0,28010.5,258.3367,244.4567,5,2.5,61855,,,wachtrij piekte op 1 verzoeken,403.0
shared_90_c32k,"20 studenten, 32k, 90% gedeelde projectbasis",shared,20,32000,normaal,0.9,groen,groen,0.2078,0.5488,1.9189,20.724,56.7075,84.8012,218,0,0.0,38,0.9569,0.0,0.1118,0.2234,0.0134,2.0,18999.4,266.83,246.7233,14,6.3063,49603,,,wachtrij piekte op 2 verzoeken,412.0
shared_90_c64k,"20 studenten, 64k, 90% gedeelde projectbasis",shared,20,64000,normaal,0.9,groen,groen,0.3031,0.5565,3.0994,27.8115,69.5576,65.7523,210,0,0.0,34,0.9794,0.0,0.1953,0.3287,0.0067,1.0,30868.08,262.8433,230.8567,4,1.9048,64263,,,wachtrij piekte op 1 verzoeken,395.0
sweep_s10_c100k,"10 studenten, 100k context",sweep,10,100000,normaal,0.5,oranje,groen,0.3754,0.8121,2.4962,28.9797,96.1328,64.8621,114,0,0.0,16,0.982,0.0,0.2298,0.4986,0.0,0.0,23781.3733,135.92,127.9033,1,0.9091,90916,,p90 doorlooptijd instructie 96s,,398.0
sweep_s10_c32k,"10 studenten, 32k context",sweep,10,32000,normaal,0.5,groen,groen,0.1931,0.5795,2.3656,24.6345,58.3321,102.1811,149,0,0.0,19,0.9516,0.0,0.0898,0.1762,0.0067,1.0,12817.69,172.4833,171.4833,7,4.6667,57941,,,wachtrij piekte op 1 verzoeken,405.0
