run_id,student,persona,burst,start_s,duration_s,steps,failed_steps,context_tokens,phase
sweep_s5_c100k,4,gemiddelde,1,22.03,17.168,3,0,40082,warmup
sweep_s5_c100k,1,worstelaar,1,34.611,17.284,4,0,17923,warmup
sweep_s5_c100k,2,gemiddelde,1,41.435,26.294,8,0,42793,warmup
sweep_s5_c100k,0,doorpakker,1,13.948,67.638,12,0,64278,warmup
sweep_s5_c100k,0,doorpakker,2,132.934,19.967,9,0,66896,measure
sweep_s5_c100k,4,gemiddelde,2,180.482,11.13,3,0,41081,measure
sweep_s5_c100k,0,doorpakker,3,172.728,54.727,15,0,70764,measure
sweep_s5_c100k,2,gemiddelde,2,223.833,16.402,7,0,45715,measure
sweep_s5_c100k,0,doorpakker,4,266.258,35.434,8,0,73108,measure
sweep_s5_c100k,1,worstelaar,2,356.163,19.197,3,0,19345,measure
sweep_s5_c100k,4,gemiddelde,3,331.952,45.29,8,0,44058,measure
sweep_s5_c100k,2,gemiddelde,3,352.163,26.241,6,0,47369,measure
sweep_s5_c100k,0,doorpakker,5,331.075,52.534,13,0,77535,measure
